Title,Link,Venue,Performance Date,Cast & Creatives,calender_link
MJ The Musical,https://www.lovetheatre.com/shows/mj-the-musical-tickets/,Prince Edward Theatre,6 Mar 2024 – 13 Sep 2025,"Michael Jackson, Lynn Nottage (Book), Christopher Wheeldon (Director, Choreographer), David Holcenberg (Musical Supervisor), Jason Michael Webb (Musical Director) Myles Frost (MJ, until 12 Jan), Jamaal Fields-Green (MJ, from 13 Jan) Ashley Zhangazha (Joseph Jackson/Rob). Mitchell Zhangazha (Michael). Phillipa Stefani (Rachel). Phebe Edwards (Katherine Jackson). Matt Mills (Berry Gordy/Nick). Rohan Pinnock-Hamilton (Tito Jackson/Quincy Jones). Matt Gonsalves (Alejandro). Jon Tsouras (Dave)",https://secure.lovetheatre.com/book/1GZHU-mj-the-musical/
Moulin Rouge! The Musical,https://www.lovetheatre.com/shows/moulin-rouge-the-musical-tickets/,Piccadilly Theatre,N/A,Natalie Kassanga (Satine). Dom Simpson (Christian). Craig Ryder (Harold Zidler). Dex Lee (Toulouse-Lautrec). Ben Richards (The Duke). Ivan De Freitas (Santiago). Charlotte Gooch (Nini). Hannah Jay-Allan (Alternate Arabia). Helen K Wint (Alternate Arabia). Matteo Johnson (Baby Doll). Bernadette Bangura (La Chocolat). Angela Marie Hurst (Alternate Satine). Oliver Adam-Reynolds. Takaiyah Bailey. Erin Bell. Emily Bolland. Ross Chisari. Athena Collins. James Davies-Williams. Katie Deacon. Serenar Douch. Rola Elliott. Myles Hart. Grace Hawksworth. Maiya Hikasa. Melvin LeBlanc. Tom Mather. Kira McPherson. Paul Mukembo. Dean Read. Ben Rutter. Gavin Ryan. Mark Samaras. Jamie Shields. Catrin Thomas. Lindsey Tierney. Alex Tranter. Matt Trevorrow. Kevin Tristan. Ben Whitnall. Saha Woodward.,https://secure.lovetheatre.com/book/1DVRJ-moulin-rouge-the-musical/
Mrs. Warren's Profession,https://www.lovetheatre.com/shows/mrs-warrens-profession-tickets/,Garrick Theatre,10 May – 16 Aug 2025,"Imelda Staunton, Bessie Carter",https://secure.lovetheatre.com/book/1H0R4-mrs-warren-s-profession/
My Master Builder,https://www.lovetheatre.com/shows/my-master-builder-tickets/,Wyndhams Theatre,17 Apr – 12 Jul 2025,"Lila Raicek (Writer), Michael Grandage (Director)",https://secure.lovetheatre.com/book/1GYLN-my-master-builder/
My Neighbour Totoro,https://www.lovetheatre.com/shows/my-neighbour-totoro-tickets/,Gillian Lynne Theatre,11 Jun 2025 – 31 May 2026,"Victoria Chen (Mei), Ami Okumura Jones (Satsuki), Dai Tabuchi (Tatsuo), Jacqueline Tate (Granny), Ai Ninomiya (Singer).",https://secure.lovetheatre.com/book/1G7HA-my-neighbour-totoro/
Nutcracker,https://www.lovetheatre.com/shows/nutcracker-tickets/,London Coliseum,11 Dec 2025 – 11 Jan 2026.,"Aaron S. Watkin (Artistic Director, Choreography), Arielle Smith (Choreography), Dick Bird (Costume and Set Design), English National Ballet Philharmonic.",N/A
Oliver!,https://www.lovetheatre.com/shows/oliver-tickets/,Gielgud Theatre,29 Mar 2026,"Simon Lipkin (Fagin), Shanay Holmes (Nancy), Aaron Sidwell (Bill Sykes), Billy Jenkins (The Artful Dodger), Philip Franks (Mr Brownlow), Oscar Conlon-Morrey (Mr. Bumble), Katy Secombe (Widow Corney), Stephen Matthews (Mr. Sowerberry/Dr. Grimwig), Jamie Birkett (Mrs. Sowerberry/Mrs. Bedwin)",https://secure.lovetheatre.com/book/1H4KN-oliver/
Operation Mincemeat: A New Musical,https://www.lovetheatre.com/shows/operation-mincemeat-tickets/,Fortune Theatre,N/A,"Geri Allen, Christian Andrews, Seán Carey, Charlotte-Hannah Williams, Chloe Hart, Madeleine Jackson-Smith, George Jennings, Jonty Peach, Holly Sumpton",N/A
Othello,https://www.lovetheatre.com/shows/othello-tickets/,Theatre Royal Haymarket,23 Oct 2025 – 17 Jan 2026,"William Shakespeare (Writer), Tom Morris (Director), PJ Harvey (Music)",https://secure.lovetheatre.com/book/1H84J-othello/
Our Cosmic Dust,https://www.lovetheatre.com/shows/our-cosmic-dust-tickets/,Park Theatre,02 Jun – 05 Jul 2025.,"Michinari Ozawa(Writer, Director)Susan Momoko Hingley(Translator, Theatre Maker)",https://secure.lovetheatre.com/book/1H2H2-our-cosmic-dust/
Paddington The Musical,https://www.lovetheatre.com/shows/paddington-the-musical-tickets/,Savoy Theatre,"2025. Performances are Monday and Wednesday – Saturday at 7pm, withmatinee performancesat 2pm on Thursday, Saturday, andSunday.Christmas theatre ticketsfor Paddington The Musical are available on a revised performance schedule, so please check the calendar for availability.","Michael Bond (Original Books), Jessica Swale (Book), Luke Sheppard (Director), Tom Fletcher (Music & Lyrics)",https://secure.lovetheatre.com/book/1H6XG-paddington-the-musical/
Partenope,https://www.lovetheatre.com/shows/partenope-tickets/,London Coliseum,20 November – Saturday 6 December 2025.,"Nardus Williams (Partenope), Hugh Cutting (Arsace), Ru Charlesworth (Emilio), Jake Ingbar (Armindo), Katie Bray (Rosmira), William Thomas (Ormonte).",N/A
Peaky Blinders: The Redemption of Thomas Shelby,https://www.lovetheatre.com/shows/peaky-blinders-the-redemption-of-thomas-shelby-tickets-2/,Sadler’s Wells Theatre,05 Aug – 15 Aug 2025.,N/A,https://secure.lovetheatre.com/book/1H3L8-peaky-blinders-the-redemption-of-thomas-shelby/
Peppa Pig's Big Family Show!,https://www.lovetheatre.com/shows/peppa-pigs-big-family-show-tickets/,Theatre Royal Haymarket,5 December 2025 – 4 January 2026.,N/A,https://secure.lovetheatre.com/book/1H5NC-peppa-pig-s-big-family-show/
Perfectly George,https://www.lovetheatre.com/shows/perfectly-george-tickets/,Adelphi Theatre,25 Nov 2025,Rob Lamberti,https://secure.lovetheatre.com/book/1GY3R-perfectly-george/
Phantom Peak,https://www.lovetheatre.com/shows/phantom-peak-tickets/,Phantom Peak,8th March to Sunday 31st March 2024.,TBC,https://secure.lovetheatre.com/book/1FW3W-phantom-peak/
Potted Panto,https://www.lovetheatre.com/shows/potted-panto-tickets/,Wilton’s Music Hall,3 Dec 2025 – 3 Jan 2026,"Richard Hurst (Director), Simon Scullion (Designer), Nicky Bunch (Costume Designer), Tim Mascall (Lighting Designer), Tom Lishman (Sound Designer), Phil Innes (Music)",https://secure.lovetheatre.com/book/1HA36-potted-panto/
Prehistoric Planet: Discovering Dinosaurs,https://www.lovetheatre.com/shows/prehistoric-planet-discovering-dinosaurs-tickets/,Lightroom,9 Jul – 2 Nov 2025,"Hans Zimmer, Anže Rozman and Kara Talve (Score)",https://secure.lovetheatre.com/book/1H0MJ-prehistoric-planet-discovering-dinosaurs/
Punch,https://www.lovetheatre.com/shows/punch-tickets/,Apollo Theatre,22 Sep – 29 Nov 2025.,"James Graham (Writer), Adam Penford (Director).",https://secure.lovetheatre.com/book/1H4VU-punch/
Punk Off - The Sounds of Punk and New Wave,https://www.lovetheatre.com/shows/punk-off-the-sounds-of-punk-and-new-wave-tickets/,Dominion Theatre,1 March 2026 at 7:30PM.,N/A,https://secure.lovetheatre.com/book/1G6RJ-punk-off-the-sounds-of-punk-and-new-wave/
Quadrophenia,https://www.lovetheatre.com/shows/quadrophenia-tickets/,Sadler’s Wells Theatre,24 June – 13 July 2025.,"Rachel Fuller (composer), Royal Philharmonic Orchestra,Paul Roberts ( choreographer) and Rob Ashford ( director).",https://secure.lovetheatre.com/book/1GZUN-quadrophenia/
RepresentAsian: An Evening of Asian Talent,https://www.lovetheatre.com/shows/representasian-an-evening-of-asian-talent-tickets/,Lyric Theatre,13 Oct 2025.,N/A,https://secure.lovetheatre.com/book/1H4VG-representasian-an-evening-of-asian-talent/
Romeo & Juliet,https://www.lovetheatre.com/shows/romeo-juliet-tickets/,Globe Theatre,25 April – 02 August 2025,"Abdul Sessay (Romeo), Lola Shalam (Juliet), Rawaed Asde (Tybalt), Roman Asde (Benvolio), Michael Elcock (Mercutio), Léa des Garets (Lady Capulet), Niamh James (Abram/Cover), John Lightbody (Friar Lawrence), Jamie-Rose Monk (Nurse), Marcus Adolphy (Lord Montague/Apothecary), Josh Gordon (Sampson/Cover), Colm Gormley (Lord Capulet), David Olaniregun (Gregory/Cover), Joe Reynolds (Paris), Dharmesh Patel (Prince/Peter).",https://secure.lovetheatre.com/book/1GXAN-romeo-and-juliet/
Rough Magic,https://www.lovetheatre.com/shows/rough-magic-tickets/,Globe Theatre,19 July – 23 August 2025.,"Kerry Frampton (Writer), Lucy Cuthbertson (Director), Ben Hales (Composer and Writer), Rose Revitt (Designer), Kate Webster (Choreographer), Nick Hockaday (Casting Director), Claire Llewellyn (Fight Director), John Bulleid (Illusion Designer)",https://secure.lovetheatre.com/book/1GXD8-rough-magic/
Sabrage,https://www.lovetheatre.com/shows/sabrage-tickets/,Lafayette,15 March – 31 May 2025.,N/A,https://secure.lovetheatre.com/book/1H0TC-sabrage/
Saving Mozart,https://www.lovetheatre.com/shows/saving-mozart-tickets/,The Other Palace,28 July – Saturday 30 August 2025.,"Aimie Atkinson (Nannerl), Jack Chambers (Mozart), Erin Caldwell (Constanze), Jordan Luke Gage (Salieri), Douglas Hansell (Leopold).",https://secure.lovetheatre.com/book/1HARU-saving-mozart/
SEA LIFE London - Standard Entry,https://www.lovetheatre.com/shows/sea-life-london-standard-entry-tickets/,SEA LIFE London,28,N/A,https://secure.lovetheatre.com/book/1F934-sea-life-london-standard-entry/
Showstopper! The Improvised Musical,https://www.lovetheatre.com/shows/showstopper-the-improvised-musical-tickets/,Cambridge Theatre,15th December 2025,TBC,https://secure.lovetheatre.com/book/1FYFL-showstopper-the-improvised-musical/
Shrek's Adventure! Standard Entry,https://www.lovetheatre.com/shows/shreks-adventure-standard-entry-tickets/,London County Hall,21,N/A,https://secure.lovetheatre.com/book/1F9D6-shreks-adventure-london-daily-entry/
Sing Street,https://www.lovetheatre.com/shows/sing-street-tickets/,Lyric Hammersmith,09 Jul – 23 Aug 2025.,N/A,https://secure.lovetheatre.com/book/1GV0W-sing-street/
Sir El Tom John,https://www.lovetheatre.com/shows/toms-elton-tribute-tickets/,Adelphi Theatre,Error,Error,N/A
Six,https://www.lovetheatre.com/shows/six-tickets/,Vaudeville Theatre,"28th June 2026. Tickets start from £19.55 for performancesTuesday – Saturday at 8:00pm, with additionalmatineeperformance on Saturday at 3.00pm.Sunday showtimings are 4:00pm and 7:00pm.",Jaz Robinson (Catherine of Aragon). Thao Therese Nguyen (Anne Boleyn). Hana Stewart (Jane Seymour). Dionne Ward-Anderson (Anna of Cleves). Caitlyn De Kuyper (Katherine Howard). Amelia Kinu Muus (Catherine Parr).,https://secure.lovetheatre.com/book/1DYC8-six-the-musical/
Starlight Express,https://www.lovetheatre.com/shows/starlight-express-tickets/,Troubadour Wembley Park Theatre,8 Jun 2024 – 01 Mar 2026,"Andrew Lloyd Webber (Music). Richard Stilgoe (Lyrics). Luke Sheppard (Director). Ashley Nottingham (Choreographer). Tim Hatley (Set Designer). Gabriella Slade (Costume Designer). Andrzej Goulding (Video Designer). Howard Hudson (Lighting Designer). Gareth Owen (Sound Designer). Matthew Brind (Orchestrations, Musical Supervisor). David Wilson (Musical Supervisor). Laura Bangay (Musical Direction). Pearson Casting (Casting). Arlene Phillips (Creative Dramaturg).",https://secure.lovetheatre.com/book/1G7WR-starlight-express/
Stereophonic,https://www.lovetheatre.com/shows/stereophonic-tickets/,Duke of York’s Theatre,2025,"Andrew R. Butler (Charlie), Eli Gelb (Grover), Zachary Hart (Reg), Lucy Karczewski (Diana), Jack Riddiford (Peter), Chris Stack (Simon), Nia Towle (Holly),  Sam Denia ( US Reg, Charlie & Grover), Rima Georges (US Holly), Lucy Gray (US Diana) and Steve Shirley (US Simon & Peter)",https://secure.lovetheatre.com/book/1GZTW-stereophonic/
Stick Man,https://www.lovetheatre.com/shows/stick-man-tickets/,Bloomsbury Theatre,04 Dec 2025 – 04 Jan 2026.,Julia Donaldson and Axel Scheffler (Book),https://secure.lovetheatre.com/book/1H2T4-stick-man/
Stranger Things: The First Shadow,https://www.lovetheatre.com/shows/stranger-things-the-first-shadow-tickets/,Phoenix Theatre,17 Nov 2023 – 19 Oct 2025.Matinee performancesavailable onSundayat 3.00pm as well as Friday and Saturday at 1.00pm. Evening performances at 7.00pm Tuesday to Saturday.,Stephen Daldry (Director). Sonia Friedman (Producer). Kate Trefry (Writer and Original Story). The Duffer Brothers (Original Story & Creative Producers). Jack Thorne (Original Story). Miriam Buether (Set Designer). Brigitte Reiffenstuel (Costume Designer). Jon Clark (Lighting Designer). Paul Arditti (Sound Designer),https://secure.lovetheatre.com/book/1FJAE-stranger-things-the-first-shadow/
Sunny Afternoon,https://www.lovetheatre.com/shows/sunny-afternoon-tickets/,Alexandra Palace Theatre,15 January to 31 Jan 2026.,N/A,https://secure.lovetheatre.com/book/1H9TL-sunny-afternoon/
Terrible Thames Tours,https://www.lovetheatre.com/shows/terrible-thames-tours-tickets/,N/A,22 May – 03 Sep 2025.,N/A,https://secure.lovetheatre.com/book/1H0HN-terrible-thames-tours-2025/
The Beatles by Candlelight,https://www.lovetheatre.com/shows/the-beatles-by-candlelight-tickets/,Gillian Lynne Theatre,14 July 2025.,N/A,https://secure.lovetheatre.com/book/1H2GA-the-beatles-by-candlelight/
The Best In Stand Up,https://www.lovetheatre.com/shows/the-best-in-stand-up-tickets/,The Comedy Store,29 Sep 2022 – 1 Nov 2025.  Tickets start from £21.60 for performances Thursdat at 8:00pm and Friday and Saturday at 7pm and 9:55pm.,TBC,https://secure.lovetheatre.com/book/1EN8E-the-best-in-stand-up/
The Bon Jovi Experience,https://www.lovetheatre.com/shows/bon-jovi-experience-tickets/,Aldwych Theatre,14 Sep 2025.,N/A,https://secure.lovetheatre.com/book/1H4HL-the-bon-jovi-experience/
The Book of Mormon,https://www.lovetheatre.com/shows/the-book-of-mormon-tickets/,Prince of Wales Theatre,"4th October 2025. Performances Monday to Saturday at 7:30PM, withmatinee performanceson Friday and Saturday at 2:30PM. Tickets available starting from £24.","Blair Gibson (Elder Price), Conner Peirson (Elder Cunningham), Paige P (Nabulungi), Colin Burnicle (Elder McKinley), Richard Lloyd King (Mafala Hatimbi), Ron Remke (Price’s Dad/Joseph Smith/Mission President/Jesus), Edward Baruwa (General/Satan).",https://secure.lovetheatre.com/book/1GZHW-the-book-of-mormon/
The Choir of Man,https://www.lovetheatre.com/shows/the-choir-of-man-tickets/,Arts Theatre,"12 Mar 2025 – 3 Jan 2026. Tickets start from £15 for performances running Tuesday – Saturday 7.30pm, Saturday 3.30pm, Sunday 2.30pm and 6pm.","Bradley Walwyn (Hardman), Jason Brock (Romantic), Benji Lord (Joker), Ifan Gwilym-Jones (Maestro), George Knapper (Handyman), Robert Godfrey (Beast), Oliver Jacobson (Barman), Paul McArthur (Poet), David Booth (Bore), Alex Mallalieu (Swing), Dave Shute (Swing), Toby Francis (Swing), Tom Carter-Miles (Swing)",https://secure.lovetheatre.com/book/1E38R-the-choir-of-man/
The Comedy About Spies,https://www.lovetheatre.com/shows/the-comedy-about-spies-tickets/,Noël Coward Theatre,14 Apr – 5 Sep 2025.,TBC,https://secure.lovetheatre.com/book/1H1YR-the-comedy-about-spies/
The Crucible,https://www.lovetheatre.com/shows/the-crucible-tickets/,Globe Theatre,8th May – 12th July 2025.,"Milly Alcock (Abigail Williams), Caitlin FitzGerald (Elizabeth Proctor), Brian Gleeson (John Proctor).",https://secure.lovetheatre.com/book/1GXFE-the-crucible/
The Curious Case Of Benjamin Button,https://www.lovetheatre.com/shows/the-curious-case-of-benjamin-button-tickets/,Ambassadors Theatre,10 Oct 2024 – 11 Oct 2025,Jethro Compton and Darren Clark,https://secure.lovetheatre.com/book/1G6P0-the-curious-case-of-benjamin-button/
The Daughter of Time,https://www.lovetheatre.com/shows/the-daughter-of-time-tickets/,Charing Cross Theatre,18 July – 13 September 2025.,"M. Kilburg Reedy (Author), Josephine Tey (Novelist), Jenny Eastop (Director), Bob Sterrett (Production Designer), Oliver McNally (Lighting Designer), Haddon Kime (Composer), Andrew Johnson (Sound Designer), Diana Estrada Hudson (Hair, Wigs, and Makeup), Neil Rutherford (Casting), James Anderton (Production Manager).",https://secure.lovetheatre.com/book/1H6RR-the-daughter-of-time/
The Devil Wears Prada,https://www.lovetheatre.com/shows/the-devil-wears-prada-tickets/,Dominion Theatre,24 Oct 2024 – 3 Jan 2026,"Vanessa Williams (Miranda Priestly), Matt  Henry (Nigel), Georgie Buckland (Andy), Amy Di Bartolomeo (Emily), James Darch (Christian), Rhys Whitfield (Nate), Maddy Ambus, Gabby Antrobus, Selena Barron, Pamela Blair, Robertina Bonano, Josh Damer-Jennings, Lloyd Davies, Elishia Edwards, Akeem Ellis-Hyman, Elizabeth Fullalove, Jinny Gould, Natasha Heyward, Samuel How, Luke Jackson, Debbie Kurup, Brandon Lee Sears, Nathan Lorainey-Dineen, Liam Marcellino, Ciro Lourencio Meulens, Theo Papoui, Christopher Parkinson, Eleanor Peach, Ethan Le Phong, Jon Reynolds, Harriet Samuel-Gray, Olivia Saunders, Joshua Steel, Kayleigh Thadani, Ella Valentine, Rhys Whitfield and Tara Yasmin.",https://secure.lovetheatre.com/book/1FWNE-the-devil-wears-prada/
The Diana Mixtape,https://www.lovetheatre.com/shows/the-diana-mixtape-tickets/,HERE at Outernet,29 Jul – 10 Aug 2025.,N/A,https://secure.lovetheatre.com/book/1H4H8-the-diana-mixtape/
The Elvis Years,https://www.lovetheatre.com/shows/the-elvis-years-tickets/,Dominion Theatre,"9 Feb, Sun 8 Jun and Sun 21 Dec 2025",TBC,https://secure.lovetheatre.com/book/1FT1W-the-elvis-years/
The Fifth Step,https://www.lovetheatre.com/shows/the-fifth-step-tickets/,@sohoplace,10 May – 26 Jul 2025,"Jack Lowden (Luka), Martin Freeman (James)",https://secure.lovetheatre.com/book/1GZXY-the-fifth-step/
The Great Gatsby: A New Musical,https://www.lovetheatre.com/shows/the-great-gatsby-tickets/,London Coliseum,11 Apr – 7 Sep 2025,"Marc Bruni (Director), Dominique Kelley (Choreographer), Kait Kerrigan (Book), Jason Howland and Nathan Tysen (Score)",https://secure.lovetheatre.com/book/1GWZJ-the-great-gatsby/
The Importance of Being Earnest,https://www.lovetheatre.com/shows/the-importance-of-being-earnest-tickets/,Noël Coward Theatre,18 Sep 2025 – 10 Jan 2026,Olly Alexander (Algernon Moncrieff),https://secure.lovetheatre.com/book/1HAYJ-the-importance-of-being-earnest/
The Lady from the Sea,https://www.lovetheatre.com/shows/the-lady-from-the-sea-tickets/,Bridge Theatre,10 Sep – 8 Nov 2025,Simon Stone (Writer & Director),https://secure.lovetheatre.com/book/1H6G8-the-lady-from-the-sea/
"The Lion, The Witch & The Wardrobe",https://www.lovetheatre.com/shows/the-lion-the-witch-and-the-wardrobe-tickets/,Sadler’s Wells Theatre,20 Aug – 7 Sep 2025,"Michael Fentiman (Director),  Tom Paris (Set and Costume Designer), Benji Bower and Barnaby Race (Composers), Shannelle ‘Tali’ Fergus (Choreographer), Jack Knowles (Lighting Designer ), Ian Dickinson and Gareth Tucker for Autograph (Sound Designers), Toby Olié (Puppetry Director), Max Humphries (Puppetry Designer), Gwen Hales (Aerial Director), Chris Fisher (Illusionist ), Toby Higgins (Music Director), Will Burton CDG (Casting Director ), Jonathan Holby (Fight Director), Susanna Peretz (Wigs, Hair and Make-up Designer), Lizzie Frankl for Propworks (Props Supervisor), Adam Peck (Dramaturg) and Dan Canham (Movement Consultant).",https://secure.lovetheatre.com/book/1GXW4-the-lion-the-witch-and-the-wardrobe/
The London Dungeon Standard Entry,https://www.lovetheatre.com/shows/the-london-dungeon-standard-entry-tickets/,London County Hall,26.50,N/A,https://secure.lovetheatre.com/book/1F96U-the-london-dungeon-standard-entry/
The Merry Wives of Windsor,https://www.lovetheatre.com/shows/the-merry-wives-of-windsor-tickets/,Globe Theatre,04 July – 20 September 2025,"Sean Holmes (Director), Grace Smart (Designer), Frew (Composer), Becky Paris CDG (Casting Director), Bethan Clark (Fight & Intimacy), Simon Trinder (Text), Gary Horner (Voice)",https://secure.lovetheatre.com/book/1GXEN-the-merry-wives-of-windsor/
The Mousetrap,https://www.lovetheatre.com/shows/the-mousetrap-tickets/,St Martins Theatre,"21st Mar 2026. Monday – Saturday at 7:30pm. Tuesday, Thursday & Saturday at 3pm.","Agatha Christie (Writer), Sir Peter Saunders (Original Producer), Sir Stephen Waley-Cohen (Producer), Ian Talbot (Director), Adam Spiegel (Producer)",https://secure.lovetheatre.com/book/1DPZE-the-mousetrap/
The Phantom of the Opera,https://www.lovetheatre.com/shows/the-phantom-of-the-opera-tickets/,His Majesty’s Theatre,"28th March 2026. Tickets start from £27 for performances running Monday – Saturday 7.30pm, Thursday & Saturday 2.30pm.","Dean Chisnall (The Phantom). Lily Kerhoas (Christine Daaé). Joe Griffiths-Brown (Raoul, Vicomte de Chagny). Paige Blankson (Christine Daaé- certain performances).",https://secure.lovetheatre.com/book/1FU7R-the-phantom-of-the-opera/
The Pitchfork Disney,https://www.lovetheatre.com/shows/the-pitchfork-disney-tickets/,King’s Head Theatre,27 Aug – 6 Oct 2025,"Philip Ridley (Writer), Max Harrison (Director), Kit Hinchliffe (Set & Costume Designer), Ben Jacobs (Lighting Designer), Sam Glossop (Sound Designer)",https://secure.lovetheatre.com/book/1HA1G-pitchfork/
The Play That Goes Wrong,https://www.lovetheatre.com/shows/the-play-that-goes-wrong-tickets/,Duchess Theatre,"28 Feb 2026. Tickets start from £23.20 for performances running Tuesday – Sunday 7.30pm, Saturday 2.30pm, Sunday 3pm.",Jordan Akkaya (Trevor). Hannah Sinclair Robinson (Sandra). Billie Hamer (Annie). Owen Jenkins (Robert). Daniel Anthony (Dennis). Joe Bolland (Jonathan). Jay Olpin (Max). Daniel Fraser (Chris).,https://secure.lovetheatre.com/book/17YY4-the-play-that-goes-wrong/
The Producers,https://www.lovetheatre.com/shows/the-producers-tickets/,Garrick Theatre,30 Aug 2025 – 21 Feb 2026,"Marc Antolin, Trevor Ashley, Raj Ghatak, Andy Nyman, Harry Morrison and Joanna Woodward.",https://secure.lovetheatre.com/book/1H2AJ-the-producers/
The Rise and Fall of The City of Mahagonny,https://www.lovetheatre.com/shows/the-rise-and-fall-of-the-city-of-mahagonny-tickets/,London Coliseum,"16 Feb, 18 Feb and 20 Feb 2026.","André de Ridder( Conductor ),Jamie Manton( Director ),Milla Clarke(Designer ),D.M. Wood( Lighting Designer ),Jeremy Sams( Translator ).",N/A
The Rocky Horror Show,https://www.lovetheatre.com/shows/the-rocky-horror-show-tickets/,New Wimbledon Theatre,30 June – 5 July 2025.,"Christopher Luscombe (Director), Richard O’Brien (Original Work)",https://secure.lovetheatre.com/book/1H84A-the-rocky-horror-show/
The Shoop Shoop Show – The Cher Collection,https://www.lovetheatre.com/shows/the-shoop-shoop-show-the-cher-collection-tickets/,Aldwych Theatre,12 Apr 2026 only.,Cher –Rachael Hawnt,https://secure.lovetheatre.com/book/1H50G-the-shoop-shoop-show-the-cher-collection/
The Smeds and the Smoos,https://www.lovetheatre.com/shows/the-smeds-and-the-smoos-tickets/,Lyric Theatre,17 Jul – 7 Sep 2025,"Julia Donaldson, Axel Scheffler",https://secure.lovetheatre.com/book/1GX54-the-smeds-and-the-smoos/
The Spy Who Came In From The Cold,https://www.lovetheatre.com/shows/the-spy-who-came-in-from-the-cold-tickets/,@sohoplace,17 Nov 2025 – 21 Feb 2026,"John le Carré (Novelist), David Eldridge (Writer), Jeremy Herrin (Director)",https://secure.lovetheatre.com/book/1H8EC-the-spy-who-came-in-from-the-cold/
The Tiger Who Came to Tea,https://www.lovetheatre.com/shows/the-tiger-who-came-to-tea-tickets/,Theatre Royal Haymarket,14 July – 07 September 2025.,"Judith Kerr (Book), David Wood (Writer, Director)",https://secure.lovetheatre.com/book/1GWUL-the-tiger-who-came-to-tea/
The Wanderers,https://www.lovetheatre.com/shows/the-wanderers-tickets/,Marylebone Theatre,17 October – Sat 29 November 2025.,"Anna Ziegler (Writer), Igor Golyak (Director).",https://secure.lovetheatre.com/book/1HATE-the-wanderers/
The Weir,https://www.lovetheatre.com/shows/the-weir-tickets/,Harold Pinter Theatre,12 Sep – 6 Dec 2025,"Brendan Gleeson (Jack), Owen McDonnell (Brendan), Seán McGinley (Jim), Kate Phillips (Valerie), and Tom Vaughan-Lawlor (Finbar).",https://secure.lovetheatre.com/book/1H6FR-the-weir/
Till the Stars Come Down,https://www.lovetheatre.com/shows/till-the-stars-come-down-tickets/,Theatre Royal Haymarket,01 Jul – 27 Sep 2025.,"Lucy Black (Hazel),Sinéad Matthews(Sylvia),Phillip Whitchurch(Uncle Pete),Alan Williams(Tony),Dorothy Atkinson(Aunty Carol),Adrian Bower(John),Julian Kostov(Marek),Aisling Loftus(Maggie) andRuby Thompson(Leanne).Further casting to be announced.",https://secure.lovetheatre.com/book/1H3KW-till-the-stars-come-down/
TINA - The Tina Turner Musical,https://www.lovetheatre.com/shows/tina-the-tina-turner-musical-tickets/,Aldwych Theatre,"13 Sep 2025. Tickets start from £12.50 for performances Monday – Wednesday 7:00pm,  Thursday 2:30PM & 7:30PM, Friday 7:30pm, Saturday 2:30PM & 7:30PM","Karis Anderson/Fleur East (Tina Turner), Elesha Paul Moses (Tina Turner), Okezie Morro (Ike Turner), Mark Anderson (Phil Spector), Jonathan Carlton (Erwin Bach), Vanessa Dumatey (Alline Bullock), Irene Myrtle Forrester (Gran Georgeanna), Earl Gregory (Richard Bullock), Harry Harrington (Roger Davies), Emma Hatton (Rhonda Graam), Jairus McClanahan (Raymond Hill), Carole Stennett (Zelma Bullock), Lauren Allan (Ensemble/Toni/Fight Captain), Turrell Barrett-Wallace (Ensemble/Ronnie), Morgan Broome (Ensemble/Ikette), Amara Campbell (Ensemble/Ikette), Abiola Efunshile (Ensemble/Ikette), Joey James (Ensemble/Craig), Zara Macintosh (Ensemble/Lorraine), Thomas Sutcliffe (Carpenter/Martyn Ware), Richard Appiah-Sarpong (Swing/Fight Captain), Jenna Bonner (Swing), Ana Cardoso (Swing), Junior Delius (Swing), Livvy Evans (Swin/Dance Captain), Ewan Grant (Swing), Imogen Rose Hart (Swing/Assistant Dance Captain), Llewellyn Jamal (Swing), Amy Punter (Swing), Ellis Seaton (Swing), Samuel J Weir (Swing)",https://secure.lovetheatre.com/book/1F1W0-tina-the-tina-turner-musical/
Titanique,https://www.lovetheatre.com/shows/titanique-tickets/,Criterion Theatre,21 Mar 2025 – 04 Jan 2026.,Céline Dion (Music),https://secure.lovetheatre.com/book/1GTBN-titanique/
Troilus and Cressida,https://www.lovetheatre.com/shows/troilus-and-cressida-tickets/,Globe Theatre,26 September – 26 October 2025,"Owen Horsley (Director), Ryan Lawson Laight (Designer)",https://secure.lovetheatre.com/book/1GXDJ-troilus-cressida/
Twelfth Night,https://www.lovetheatre.com/shows/twelfth-night-tickets/,Globe Theatre,08 Aug – 25 Oct 2025,"Robin Belfield (Director), Simon Slater (Composer), Ingrid Mackinnon (Movement & Intimacy Director)",https://secure.lovetheatre.com/book/1GYE8-twelfth-night/
War Horse,https://www.lovetheatre.com/shows/war-horse-tickets/,New Wimbledon Theatre,5 August – Saturday 16 August 2025.,This production is brought to life by South Africa’s Handspring Puppet Company.,https://secure.lovetheatre.com/book/1H9LL-war-horse/
